track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,album,release_type,release_date,explicit,artists,target_popularity,days_since_release,num_artists,has_features,num_words_in_title,num_words_in_album,num_hit_words_track,num_flop_words_track,num_hit_words_album,num_flop_words_album
Suddenly Last Summer,0.716,0.753,2,-5.682,1,0.0286,0.162,0.0306,0.0831,0.561,120.141,222000,4,57.71583,11,Classic Masters,album,2002-01-01,False,The Motels,0,8136,1,False,3,2,1,0,1,1
Sanctuary,0.36,0.542,5,-13.885,1,0.0339,0.368,0.165,0.116,0.803,116.831,444907,4,30.34574,17,Drive,album,1988-01-01,False,Béla Fleck&&Sam Bush&&Jerry Douglas&&Mark O'Connor&&Tony Rice&&Mark Schatz,0,13250,6,True,1,1,0,0,0,0
The Wild Rover,0.656,0.512,7,-11.872,1,0.029,0.585,0.0,0.072,0.88,97.5,157893,3,50.97022,7,Red Roses for Me (Expanded Edition),album,1984-01-01,False,The Pogues,1,14711,1,False,3,6,1,0,3,2
In The Driver's Seat,0.642,0.889,2,-5.62,0,0.0494,0.375,0.0,0.18,0.764,163.351,162293,4,33.62053,7,The Dukes Of Hazzard,album,1978-01-01,False,John Schneider,0,16902,1,False,4,4,0,0,0,0
Young Wild And Free,0.454,0.734,2,-15.559,1,0.041,0.124,1.36e-05,0.099,0.46,135.527,225560,4,36.52688,11,"Young, Wild And Free",album,1986-01-01,False,Brighton Rock,0,13980,1,False,4,4,2,0,1,0
Holiday,0.487,0.853,11,-10.165,0,0.0343,0.0277,0.00737,0.136,0.802,83.593,213427,4,15.23401,10,The Other Ones (2019 remaster),album,1986-10-14,False,The Other Ones,0,13694,1,False,1,5,0,0,1,0
Answering Machine,0.775,0.488,0,-15.044,1,0.123,0.24,0.0,0.0368,0.961,81.158,215200,4,28.65643,9,Partners In Crime,album,1979-01-01,False,Rupert Holmes,0,16537,1,False,2,3,0,0,0,0
Crystal Ball,0.406,0.777,8,-11.498,1,0.059,0.087,1.63e-05,0.196,0.456,131.109,295507,4,41.44096,12,Odyssey,album,1988-01-01,False,Yngwie Malmsteen,0,13250,1,False,2,1,0,0,0,0
Right On Track,0.763,0.824,1,-10.054,0,0.033,0.0613,4.45e-05,0.0226,0.947,116.975,256947,4,26.8888,14,Breakfast Club,album,1987-01-01,False,Breakfast Club,0,13615,1,False,3,2,1,0,0,0
Driving Blind,0.806,0.749,4,-14.328,0,0.0502,0.00164,0.898,0.629,0.252,115.718,390200,4,86.13896,17,Songs of Love & Lust,album,1984-12-31,False,Chris & Cosey,0,14346,1,False,2,5,0,0,2,2
Toy Soldiers,0.514,0.59,1,-6.405,0,0.0274,0.403,0.0,0.126,0.173,130.167,287600,4,67.3578,8,Martika (Expanded Edition),album,1988-06-01,False,Martika,1,13098,1,False,2,3,0,0,2,2
Make It Real,0.724,0.275,9,-11.332,1,0.0354,0.205,0.0001,0.0935,0.653,79.944,257067,4,24.25118,12,20th Century Masters: The Millennium Collection: Best Of The Jets,compilation,2001-01-01,False,The Jets,1,8501,1,False,3,10,2,0,6,2
The Silver Ball - 2005 Digital Remaster,0.0802,0.0176,6,-29.853,0,0.0434,0.939,0.814,0.0812,0.0489,81.378,211253,4,36.0528,10,The Pearl,album,1984-01-01,False,Harold Budd&&Brian Eno,0,14711,2,True,7,2,0,2,0,0
Leila,0.707,0.513,6,-14.836,0,0.0295,0.106,0.0519,0.289,0.791,111.402,195133,4,18.21774,10,El Loco,album,1981-07-20,False,ZZ Top,0,15606,1,False,1,2,0,0,0,1
Ridge Road Gravel,0.639,0.15,2,-18.53,1,0.0357,0.822,0.0013,0.139,0.711,98.852,147627,4,23.41037,8,Blake & Rice,album,1987-01-01,False,Norman Blake&&Tony Rice,0,13615,2,True,3,3,0,0,0,0
Habaneras de Cadiz,0.483,0.26,9,-12.947,1,0.0516,0.948,3.14e-06,0.144,0.468,129.326,273000,4,38.22913,11,2 En 1 (Cuaderno De Coplas + A Través del Olvido),album,1984-01-01,False,Carlos Cano,0,14711,1,False,3,11,0,0,0,2
Hungry Heart,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,199453,4,34.61031,7,The River,album,1980-10-17,False,Bruce Springsteen,1,15882,1,False,2,2,1,1,0,0
No Competition,0.852,0.42,11,-21.28,1,0.293,0.0246,0.000699,0.355,0.647,117.109,232000,4,61.75679,12,Follow The Leader,album,1988-07-25,False,Eric B. & Rakim,0,13044,1,False,2,3,0,0,0,0
Oh Boy,0.332,0.946,0,-5.413,1,0.0885,0.000946,0.00281,0.956,0.45,123.247,105800,4,5.51701,3,Live Pankehallen 21.01.1984,album,1984-01-01,False,Slime,0,14711,1,False,2,3,1,0,1,1
Precious To Me,0.698,0.867,11,-5.946,0,0.0278,0.0184,0.0,0.102,0.956,129.549,171160,4,31.38554,10,"Archive Series, Vol. 1",album,2012-03-08,False,Phil Seymour,0,4417,1,False,3,4,0,0,1,2
Storms in Africa - Pt. II,0.475,0.463,1,-18.689,1,0.0444,0.762,0.93,0.174,0.528,104.05,180837,4,46.80989,9,Watermark,album,1988-01-01,False,Enya,0,13250,1,False,6,1,0,2,0,0
Catch Me I'm Falling,0.574,0.803,10,-6.866,1,0.052,0.000176,0.0456,0.246,0.771,84.791,245467,4,32.06669,11,Heartland,album,1983-01-01,False,Real Life,0,15076,1,False,4,1,0,0,0,0
Tollkühn,0.182,0.786,0,-12.628,0,0.0852,0.00147,0.696,0.0767,0.452,74.1,371467,4,14.33702,17,Material,album,1981-01-01,False,Moebius&&Plank,0,15806,2,True,1,1,0,0,0,0
It's Only Love,0.666,0.884,9,-5.243,0,0.0429,0.506,0.00612,0.0408,0.754,92.005,298573,4,58.02635,9,A New Flame (Expanded Version),album,1989-01-01,False,Simply Red,1,12884,1,False,3,5,1,1,3,3
Fields Of Fire,0.592,0.907,5,-8.87,1,0.0584,0.00111,0.0862,0.0954,0.613,123.815,211467,4,34.2106,10,The Crossing (Deluxe Edition),album,1983-07-15,False,Big Country,0,14881,1,False,3,4,0,0,2,2
I'm Gonna Miss You,0.695,0.665,0,-10.85,1,0.0271,0.574,3.99e-06,0.456,0.855,100.908,260160,4,26.10077,13,Back To Avalon,album,1988-08-02,False,Kenny Loggins,0,13036,1,False,4,3,2,0,0,0
No More Tears (Enough Is Enough),0.634,0.644,2,-8.234,0,0.0838,0.51,7.09e-05,0.32,0.286,135.24,282493,4,46.56178,14,The Essential Barbra Streisand,compilation,2002-01-29,False,Barbra Streisand&&Donna Summer,1,8108,2,True,6,4,0,0,1,1
When He Shines,0.346,0.0677,10,-15.864,1,0.0341,0.922,3.44e-06,0.112,0.0855,110.559,236347,4,34.93229,12,Greatest Hits,compilation,1995-04-01,False,Sheena Easton,0,10603,1,False,3,2,0,0,2,2
Small World,0.565,0.725,9,-5.7,1,0.0336,0.0985,0.000546,0.4,0.57,113.198,520813,4,67.791,21,Live At 25,album,2005-05-17,False,Huey Lewis & The News,0,6904,1,False,2,3,1,1,1,1
Stone Love,0.693,0.575,1,-17.068,1,0.0313,0.068,0.000704,0.249,0.916,109.99,275040,4,36.76431,13,Forever,album,1986-11-03,False,Kool & The Gang,0,13674,1,False,2,1,1,1,1,0
The Pursuit of Power (A),0.535,0.222,5,-17.628,0,0.0415,0.921,0.865,0.0981,0.0673,80.976,164035,4,34.99102,9,Kpm 1000 Series: Historical Perspective,album,1982-01-01,False,Keith Mansfield,0,15441,1,False,5,5,0,0,0,1
Need A Little Taste Of Love,0.605,0.919,9,-8.372,1,0.0503,0.000382,0.00139,0.057,0.84,115.006,245413,4,50.31112,10,Cycles,album,1989-01-01,False,The Doobie Brothers,0,12884,1,False,6,1,3,2,0,0
Bottle of Smoke,0.44,0.82,0,-12.919,1,0.0385,0.0416,0.000212,0.0964,0.941,147.853,167333,4,47.33817,8,If I Should Fall from Grace with God (Expanded Edition),album,1988-09-05,False,The Pogues,0,13002,1,False,3,10,0,0,2,2
Falling In Love (Uh-Oh),0.723,0.484,2,-14.456,1,0.026,0.261,0.00692,0.0492,0.962,108.991,233160,4,22.20608,10,Primitive Love,album,1985-08-13,False,Miami Sound Machine,0,14121,1,False,4,2,1,1,1,1
Forever Your Girl,0.701,0.891,2,-7.873,1,0.0446,0.185,0.0454,0.0712,0.747,119.966,300467,4,36.04943,13,Forever Your Girl,album,1988-01-01,False,Paula Abdul,0,13250,1,False,3,3,2,1,2,1
Vivo Sonhando,0.464,0.272,7,-12.569,1,0.0338,0.901,1.35e-05,0.153,0.385,140.946,173507,3,27.18952,9,The Girl From Ipanema - The Bossa Nova Years,album,1989-01-01,False,Stan Getz&&João Gilberto&&Antônio Carlos Jobim,0,12884,3,True,2,9,0,1,1,5
One More Try,0.551,0.291,5,-12.544,1,0.0283,0.434,3.78e-05,0.11,0.0823,119.005,350667,3,26.34592,23,Faith,album,1987-10-30,False,George Michael,1,13313,1,False,3,1,0,0,0,0
One Thing Leads To Another,0.789,0.945,5,-5.219,0,0.0482,0.198,3.11e-06,0.0617,0.965,136.745,199827,4,37.31624,8,Reach The Beach,album,1983-05-15,False,The Fixx,1,14942,1,False,5,3,1,0,0,0
Still A Thrill,0.84,0.458,2,-13.245,1,0.062,0.151,0.25,0.148,0.968,109.924,281827,4,18.43257,13,Jody Watley,album,1987-01-01,False,Jody Watley,0,13615,1,False,3,2,0,0,0,0
Get Funky (Long Club Adub),0.774,0.988,10,-2.305,0,0.135,0.0868,0.778,0.248,0.588,122.517,374720,4,48.9867,13,Can You Party,album,1988-03-15,False,Royal House,0,13176,1,False,5,3,1,0,1,0
You Don't Believe,0.667,0.633,0,-10.836,0,0.0313,0.0683,4.12e-05,0.0725,0.574,122.827,266893,4,28.35616,9,Ammonia Avenue (Expanded Edition),album,1984-02-07,False,The Alan Parsons Project,0,14674,1,False,3,4,2,1,2,2
Medley,0.647,0.818,1,-6.174,0,0.051,0.155,8.18e-06,0.166,0.908,122.552,233213,4,20.12723,13,Stars On 45 - The Very Best Of ...,compilation,1984-01-01,False,Stars On 45,0,14711,1,False,1,9,0,0,1,1
A Rock And A Hard Place,0.676,0.94,0,-14.304,1,0.0411,0.00785,0.228,0.122,0.814,133.734,215467,4,38.92427,10,First and Last and Always Collection,album,1985-01-01,False,Sisters of Mercy,0,14345,1,False,6,6,2,1,1,1
All-Boy All-Girl,0.768,0.191,5,-19.233,0,0.046,0.2,0.207,0.216,0.439,138.798,223600,4,47.92506,9,World Of Echo,album,1986-01-01,False,Arthur Russell,0,13980,1,False,2,3,2,1,1,1
Right Next Door (Because Of Me),0.748,0.635,10,-8.412,0,0.0533,0.21,0.000824,0.129,0.727,87.533,258800,4,71.88103,11,American Blues 101,compilation,2015-11-04,False,The Robert Cray Band,0,3081,1,False,6,3,1,0,1,2
New Romance (It's A Mystery),0.608,0.671,4,-12.549,1,0.0358,0.126,1.31e-06,0.091,0.76,133.894,189475,4,30.23218,11,Spider,album,1980-01-01,False,Spider,0,16172,1,False,5,1,1,1,0,0
Tonight,0.802,0.672,10,-9.419,0,0.0562,0.00185,0.0508,0.281,0.686,114.358,370027,4,33.78861,15,Love for Love,album,1983-01-01,False,The Whispers,0,15076,1,False,1,3,1,0,1,1
Foolish Heart,0.642,0.419,1,-12.609,1,0.0316,0.481,0.0,0.0523,0.755,95.6,279840,4,46.68056,10,Ladies With Soul,compilation,2002-01-01,False,Sharon Bryant,0,8136,1,False,2,3,1,1,1,1
I Miss You,0.553,0.345,5,-18.267,1,0.0342,0.499,0.0,0.252,0.305,139.562,333267,4,37.94736,14,Meeting In The Ladies Room,album,1984-01-01,False,Klymaxx,1,14711,1,False,3,5,1,0,0,0
Abadabadango,0.627,0.936,2,-7.935,1,0.0406,0.126,0.0,0.131,0.818,127.945,228507,4,30.95,14,Essential,album,2011-01-01,False,Kim Carnes,0,4849,1,False,1,1,0,0,1,1
